Top,Russian,Audio,English,Spanish,Example Russian 1,Example Russian 2,Example Russian 3,Audio 1,Audio 2,Audio 3,Example English 1,Example English 2,Example English 3,Example Spanish 1,Example Spanish 2,Example Spanish 3,Tag
481,приня́ть,,to accept,aceptar,Ты прими решение и двигайся дальше.,Мы всегда принимаем вызовы.,Он принял предложение.,,,,You make a decision and move on.,We always accept challenges.,He accepted the offer.,Toma una decisión y sigue adelante.,Siempre aceptamos desafíos.,Aceptó la oferta.,verb
482,снача́ла,,at first,al principio,"Я не понял смысла сначала, но потом осознал.",Сначала учитель объяснил тему.,Она сначала планировала отпуск.,,,,"I didn't understand at first, but then I realized.",The teacher explained the topic at first.,She was planning a vacation at first.,"Al principio no entendí, pero luego me di cuenta.",El maestro explicó el tema al principio.,Ella estaba planeando unas vacaciones al principio.,adverb
483,ли́бо,,--------------------------------------------,-------------------------------------,-----------------------------------,---------------------------------,---------------------------------,,,,------------------------------------,------------------------------------,--------------------------------,--------------------------------,,ли́бо,other
484,пое́хать,,to go,ir,Он пое́хал в отпуск на две недели.,Вы пое́дете на машине?,Они уже пое́хали на вокзал.,,,,He went on vacation for two weeks.,Will you go by car?,They have already gone to the train station.,Él se fue de vacaciones por dos semanas.,¿Iráis en coche?,Ellos ya se fueron a la estación de tren.,verb
485,услы́шать,,to hear,escuchar,Ты услы́шишь пение птиц за окном?,Мы услы́шим звуки летающих самолетов.,Она услы́шала зовущий голос в тишине.,,,,Will you hear the birds singing outside?,We will hear the sounds of flying planes.,She heard a calling voice in the silence.,¿Escucharás el canto de los pájaros afuera?,Escucharemos los sonidos de los aviones volando.,Ella escuchó una voz llamativa en el silencio.,verb
486,уме́ть,,to know how/ can/ be able to,saber/ poder,Он умеет играть на гитаре.,Они умеют готовить вкусные блюда.,"Я умел плавать, когда был маленьким.",,,,He knows how to play the guitar.,They know how to cook delicious dishes.,I could swim when I was little.,Él sabe tocar la guitarra.,Ellos saben cocinar platos deliciosos.,Sabía nadar cuando era pequeño.,verb
487,случи́ться,,to happen,ocurrir,Что случи́лось?,Это может случи́ться с вами.,Это случи́лось вчера.,,,,What happened?,It can happen to you.,It happened yesterday.,¿Qué ha pasado?,Puede ocurrirte a ti.,Sucedió ayer.,verb
488,стра́нный,,strange,extraño,Он всегда был немного стра́нный.,У нее был стра́нный взгляд.,Это было стра́нное решение.,,,,He has always been a bit strange.,She had a strange look.,That was a strange decision.,Siempre ha sido un poco extraño.,Ella tenía una mirada extraña.,Esa fue una decisión extraña.,adjective
489,еди́нственный,,"only, single","único, solo",Это моя единственная возможность.,У него был единственный ответ.,Она взяла последний единственный пирог.,,,,This is my only chance.,He had the only answer.,She took the last single pie.,Esta es mi única oportunidad.,Él tenía la única respuesta.,Ella tomó el último pastel único.,adjective
490,ро́та,,company,compañía,Он работает в крупной роте.,Эта рота была особенно дружной.,Строевая рота готовится к параду.,,,,He works in a large company.,This company was particularly friendly.,The military unit is getting ready for the parade.,Él trabaja en una compañía grande.,Esta compañía fue particularmente amigable.,La unidad militar se está preparando para el desfile.,noun
491,зако́н,,law,ley,Зако́н был принят большинством голосов.,Государство защищает существующий закон.,Нарушение закона влечет наказание.,,,,The law was passed by the majority vote.,The state upholds the existing law.,Breaking the law leads to punishment.,La ley fue aprobada por la mayoría de los votos.,El estado defiende la ley existente.,Romper la ley conlleva castigo.,noun
492,коро́ткий,,short,corto,У него был коро́ткий разговор.,Это белое платье коро́ткое.,Он застегнул коро́ткую молнию.,,,,He had a short conversation.,This white dress is short.,He zipped a short zipper.,Él tuvo una conversación corta.,Este vestido blanco es corto.,Él subió la cremallera corta.,adjective
493,мо́ре,,sea,mar,Я люблю смотреть на мо́ре.,Мы отправились к мо́рю.,Солнце закатывалось за мо́рём.,,,,I love to look at the sea.,We headed towards the sea.,The sun was setting behind the sea.,Me encanta mirar el mar.,Nos dirigimos hacia el mar.,El sol se estaba poniendo detrás del mar.,noun
